HistoricalCode,BfsCode,Name,CantonId,Canton,DistrictId,District,FUA2014,DEGURB2021,FUA2021,GCITIES2021,STREG2022,DEGURB2011,GCITIES2011,REGCH,AGKG2020,STADTE2020,STGD2020,RSC2020,SPRGEB2020,AGKSA2020,AGGL2020,AGGLGK2020,MONT2019,STALAN2020,GDETYP2020_9,GDETYP2020_25,GBAE2018,BAE2018
11472,4193,Brunegg,19,Aargau,10020,Bezirk Lenzburg,0,2,261960,0,14,2,0,3,0,0,0,5,1,0,0,0,0,2,22,227,12,12010
11473,2292,Brünisried,10,Fribourg / Freiburg,10102,Bezirk Sense,0,3,0,0,13,3,0,2,0,0,0,0,1,0,0,0,1,3,32,327,4,4030
11474,2933,Buchberg,14,Schaffhausen,10089,Bezirk Schaffhausen,261960,3,261960,0,3,3,0,5,261810,0,0,4,1,261910,261,1,0,3,23,237,12,12032
11475,5160,Brusino Arsizio,21,Ticino,10003,Distretto di Lugano,5192960,2,5192960,0,12,2,0,7,5250810,0,0,4,3,5250910,5250,4,1,3,23,237,14,14020
11478,112,Bubikon,1,Zürich,10079,Bezirk Hinwil,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,21,216,12,12037
11479,2961,Buch (SH),14,Schaffhausen,10087,Bezirk Stein,0,3,0,0,2,3,0,5,0,0,0,0,1,0,0,0,0,3,32,327,12,12020
11484,5162,Cadempino,21,Ticino,10003,Distretto di Lugano,5192960,1,5192960,5192950,12,1,5192950,7,5192801,0,0,2,3,5192910,5192,3,1,1,12,122,14,14010
11485,6193,Bürchen,23,Valais / Wallis,10125,Bezirk Raron,0,3,0,0,11,3,0,1,6002810,0,0,4,1,6002910,6002,5,1,3,23,237,7,7080
11486,2914,Büttenhardt,14,Schaffhausen,10090,Bezirk Reiat,0,3,0,0,2,3,0,5,2939810,0,0,4,1,2939910,2939,4,0,3,23,235,12,12020
11488,4064,Büttikon,19,Aargau,10024,Bezirk Bremgarten,261960,2,261960,0,14,2,0,3,0,0,0,5,1,0,0,0,0,2,22,226,12,12010
11490,4230,Buttwil,19,Aargau,10019,Bezirk Muri,0,2,0,0,14,2,0,3,0,0,0,0,1,0,0,0,0,3,32,327,11,11060
11492,5161,Cademario,21,Ticino,10003,Distretto di Lugano,5192960,2,5192960,0,12,2,0,7,5192810,0,0,4,3,5192910,5192,3,1,3,23,237,14,14010
11502,2177,Chénens,10,Fribourg / Freiburg,10104,District de la Sarine,0,3,2196960,0,13,3,0,2,0,0,0,0,2,0,0,0,0,3,32,326,4,4030
11506,1205,Bürglen (UR),4,Uri,10061,Kanton Uri,0,2,0,0,4,2,0,6,1201801,0,0,2,1,1201910,1201,5,1,1,13,137,11,11070
11510,2472,Büren (SO),11,Solothurn,10099,Bezirk Dorneck,2701960,2,2701960,0,14,3,0,2,2701810,0,0,4,1,2701910,2701,1,0,3,23,237,8,8014
11511,2614,Büsserach,11,Solothurn,10094,Bezirk Thierstein,2701960,2,2701960,0,14,2,0,2,2701810,0,0,4,1,2701910,2701,1,1,2,21,216,8,8011
11522,2257,Cressier (FR),10,Fribourg / Freiburg,10103,Bezirk See / District du Lac,0,3,2196960,0,13,3,0,2,0,0,0,0,2,0,0,0,0,3,32,326,4,4030
11533,2130,Crésuz,10,Fribourg / Freiburg,10105,District de la Gruyère,0,3,0,0,13,3,0,2,0,0,0,0,2,0,0,0,1,3,32,327,4,4020
11534,2250,Courgevaux,10,Fribourg / Freiburg,10103,Bezirk See / District du Lac,351960,2,351960,0,13,2,0,2,0,0,0,6,1,0,92275,0,0,1,13,136,6,6011
11535,6613,Chêne-Bourg,25,Genève,10187,Canton de Genève,6621960,1,6621960,6621950,10,1,6621950,1,6621801,0,0,2,2,6621910,6621,1,0,1,11,113,1,1015
11540,2186,Cottens (FR),10,Fribourg / Freiburg,10104,District de la Sarine,0,3,2196960,0,13,3,0,2,2196810,0,0,4,2,2196910,2196,4,0,3,23,237,4,4030
11556,4004,Densbüren,19,Aargau,10026,Bezirk Aarau,0,3,4001960,0,14,3,0,3,0,0,0,5,1,0,0,0,0,3,23,236,10,10020
11563,54,Dietlikon,1,Zürich,10081,Bezirk Bülach,261960,1,261960,261950,3,1,261950,4,261801,0,0,2,1,261910,261,1,0,1,11,112,12,12036
11564,4231,Dietwil,19,Aargau,10019,Bezirk Muri,1061960,3,1711960,0,14,3,0,3,0,0,0,5,1,0,0,0,0,3,23,235,11,11040
11565,216,Dinhard,1,Zürich,10074,Bezirk Winterthur,261960,2,261960,0,3,3,0,4,230810,0,0,4,1,230910,230,3,0,3,23,236,12,12040
11566,4194,Dintikon,19,Aargau,10020,Bezirk Lenzburg,0,2,0,0,14,2,0,3,0,0,0,5,1,0,0,0,0,2,21,217,10,10020
11567,86,Dielsdorf,1,Zürich,10080,Bezirk Dielsdorf,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,21,217,12,12032
11568,1503,Dallenwil,7,Nidwalden,10110,Kanton Nidwalden,0,3,0,0,4,3,0,6,0,0,0,0,1,0,0,0,1,3,32,326,11,11050
11569,6619,Corsier (GE),25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621801,0,0,3,2,6621910,6621,1,0,1,11,113,1,1015
11570,5180,Cureglia,21,Ticino,10003,Distretto di Lugano,5192960,1,5192960,5192950,12,1,5192950,7,5192801,0,0,2,3,5192910,5192,3,1,1,12,123,14,14010
11573,25,Dachsen,1,Zürich,10082,Bezirk Andelfingen,261960,2,261960,0,3,2,0,4,2939810,0,0,4,1,2939910,2939,4,0,2,22,226,12,12020
11574,214,Dägerlen,1,Zürich,10074,Bezirk Winterthur,261960,3,261960,0,3,3,0,4,0,0,0,5,1,0,0,0,0,3,23,237,12,12040
11578,84,Dällikon,1,Zürich,10080,Bezirk Dielsdorf,261960,2,261960,0,3,2,0,4,261801,0,0,3,1,261910,261,1,0,1,11,112,12,12031
11579,5071,Dalpe,21,Ticino,10005,Distretto di Leventina,0,3,0,0,12,3,0,7,0,0,0,0,3,0,0,0,1,3,33,338,13,13010
11580,2572,Däniken,11,Solothurn,10111,Bezirk Olten,0,2,0,0,14,2,0,2,4001801,0,0,2,1,4001910,4001,3,0,1,12,122,10,10020
11581,85,Dänikon,1,Zürich,10080,Bezirk Dielsdorf,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,22,226,12,12031
11582,6620,Dardagny,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621810,0,0,4,2,6621910,6621,1,0,3,23,236,1,1011
11583,215,Dättlikon,1,Zürich,10074,Bezirk Winterthur,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,3,23,237,12,12040
11586,6614,Choulex,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621810,0,0,4,2,6621910,6621,1,0,2,22,227,1,1015
11594,5251,Coldrerio,21,Ticino,10002,Distretto di Mendrisio,5192960,2,5250960,0,12,2,0,7,5250801,0,0,2,3,5250910,5250,4,0,1,12,123,14,14020
11595,6615,Collex-Bossy,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621810,0,0,4,2,6621910,6621,1,0,2,22,227,1,1013
11596,6152,Collombey-Muraz,23,Valais / Wallis,10013,District de Monthey,0,2,0,0,11,2,0,1,6153801,0,0,2,2,6153910,6153,5,1,1,13,137,2,2040
11597,6616,Collonge-Bellerive,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621801,0,0,2,2,6621910,6621,1,0,1,11,112,1,1015
11598,6211,Collonges,23,Valais / Wallis,10177,District de Saint-Maurice,0,3,0,0,11,3,0,1,0,0,0,0,2,0,0,0,1,3,32,327,2,2040
11599,6617,Cologny,25,Genève,10187,Canton de Genève,6621960,1,6621960,6621950,10,2,0,1,6621801,0,0,2,2,6621910,6621,1,0,1,11,113,1,1015
11610,6235,Chippis,23,Valais / Wallis,10178,District de Sierre,0,2,0,0,11,2,0,1,6248801,0,0,2,2,6248910,6248,5,1,1,13,136,7,7050
11616,5176,Comano,21,Ticino,10003,Distretto di Lugano,5192960,1,5192960,5192950,12,1,5192950,7,5192801,0,0,2,3,5192910,5192,3,1,1,12,123,14,14010
11635,6023,Conthey,23,Valais / Wallis,10034,District de Conthey,0,2,0,0,11,2,0,1,6266801,0,0,2,2,6266910,6266,4,1,1,12,123,7,7030
11636,4274,Brittnau,19,Aargau,10017,Bezirk Zofingen,0,2,0,0,14,2,0,3,2581801,0,0,2,1,2581910,2581,3,0,1,12,123,10,10020
11651,6618,Confignon,25,Genève,10187,Canton de Genève,6621960,1,6621960,6621950,10,1,6621950,1,6621801,0,0,2,2,6621910,6621,1,0,1,11,113,1,1011
11657,2173,Autigny,10,Fribourg / Freiburg,10104,District de la Sarine,0,3,2196960,0,13,3,0,2,0,0,0,0,2,0,0,0,0,3,32,325,4,4030
11659,4223,Auw,19,Aargau,10019,Bezirk Muri,1711960,2,1711960,0,14,3,0,3,0,0,0,5,1,0,0,0,0,2,22,226,11,11060
11664,6603,Avully,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621810,0,0,4,2,6621910,6621,1,0,3,23,237,1,1011
11665,6604,Avusy,25,Genève,10187,Canton de Genève,6621960,3,6621960,0,10,3,0,1,6621810,0,0,4,2,6621910,6621,1,0,3,23,237,1,1011
11666,6082,Ayent,23,Valais / Wallis,10031,District d'Hérens,0,2,0,0,11,2,0,1,6266810,0,0,4,2,6266910,6266,4,1,2,22,227,7,7030
11670,1362,Arth,5,Schwyz,10068,Bezirk Schwyz,1711960,2,1711960,0,4,2,0,6,0,1,1362,6,1,0,91362,0,1,1,13,136,11,11080
11673,5091,Ascona,21,Ticino,10004,Distretto di Locarno,0,2,0,0,12,2,0,7,5113801,0,0,2,3,5113910,5113,4,1,1,12,122,13,13020
11675,6191,Ausserberg,23,Valais / Wallis,10125,Bezirk Raron,0,2,0,0,11,2,0,1,6002810,0,0,4,1,6002910,6002,5,1,3,23,235,7,7080
11676,2321,Attalens,10,Fribourg / Freiburg,10101,District de la Veveyse,5586960,2,5586960,0,13,2,0,2,0,0,0,5,2,0,0,0,0,2,22,227,2,2050
